"Path","Risk","Lines","ExceptAny","ExceptBroad","Print","Todo"
"backend/app/templates/ieee/contract.yaml","2","50","0","0","0","0"
"backend/app/templates/ieee/styles.csl","2","66","0","0","0","0"
"backend/app/templates/mla/contract.yaml","2","24","0","0","0","0"
"backend/app/templates/mla/styles.csl","2","56","0","0","0","0"
"backend/app/templates/nature/contract.yaml","2","24","0","0","0","0"
"backend/app/templates/nature/styles.csl","2","56","0","0","0","0"
"backend/app/templates/none/contract.yaml","2","50","0","0","0","0"
"backend/app/templates/numeric/contract.yaml","2","50","0","0","0","0"
"backend/app/templates/numeric/styles.csl","2","66","0","0","0","0"
"backend/app/templates/springer/contract.yaml","2","23","0","0","0","0"
"backend/app/templates/springer/styles.csl","2","112","0","0","0","0"
"backend/app/templates/vancouver/contract.yaml","2","24","0","0","0","0"
"backend/app/templates/vancouver/styles.csl","2","56","0","0","0","0"
"backend/app/utils/background_tasks.py","3.5","135","7","3","0","0"
"backend/app/utils/cleanup.py","2.5","62","2","1","0","0"
"backend/app/utils/dependencies.py","2.5","53","2","1","0","0"
"backend/app/utils/id_generator.py","2","86","0","0","0","0"
"backend/app/utils/text_utils.py","2.5","269","0","0","0","0"
"frontend/src/App.jsx","2.5","199","0","0","0","0"
"frontend/src/components/BatchUploadPanel.jsx","2","130","0","0","0","0"
"frontend/src/components/DeleteConfirmDialog.jsx","2","81","0","0","0","0"
"frontend/src/components/ErrorBoundary.jsx","2","91","0","0","0","0"
"frontend/src/components/ExportDialog.jsx","2","79","0","0","0","0"
"frontend/src/components/FastModeToggle.jsx","2","32","0","0","0","0"
"frontend/src/components/FeedbackForm.jsx","2.5","152","0","0","0","0"
"frontend/src/components/FileUpload.jsx","2","110","0","0","0","0"
"frontend/src/components/Footer.jsx","2","86","0","0","0","0"
"frontend/src/components/HealthStatusIndicator.jsx","2","49","0","0","0","0"
"frontend/src/components/MetricsCard.jsx","2","45","0","0","0","0"
"frontend/src/components/Navbar.jsx","3","397","0","0","0","0"
"frontend/src/components/NotificationBell.jsx","2","116","0","0","0","0"
"frontend/src/components/Preview.jsx","2.5","271","0","0","0","0"
"frontend/src/components/ProcessingOptions.jsx","2","39","0","0","0","0"
"frontend/src/components/ProtectedRoute.jsx","2","29","0","0","0","0"
"frontend/src/components/ScrollManager.jsx","2","50","0","0","0","0"
"frontend/src/components/StatusBadge.jsx","2","44","0","0","0","0"
"frontend/src/components/Stepper.jsx","2","57","0","0","0","0"
"frontend/src/components/ToggleSwitch.jsx","2","26","0","0","0","0"
"frontend/src/components/upload/CategoryTabs.jsx","2","35","0","0","0","0"
"frontend/src/components/upload/FormattingOptions.jsx","2","145","0","0","0","0"
"frontend/src/components/upload/ProcessingStepper.jsx","2","81","0","0","0","0"
"frontend/src/components/upload/TemplateSelector.jsx","3.9","349","0","0","0","0"
"frontend/src/components/ValidationCard.jsx","2","61","0","0","0","0"
"frontend/src/constants/status.js","2","23","0","0","0","0"
"frontend/src/context/AuthContext.jsx","2.5","224","0","0","0","0"
"frontend/src/context/DocumentContext.jsx","2","139","0","0","0","0"
"frontend/src/context/ThemeContext.jsx","2","40","0","0","0","0"
"frontend/src/context/ToastContext.jsx","2","100","0","0","0","0"
"frontend/src/hooks/useJobFromUrl.js","2","91","0","0","0","0"
"frontend/src/hooks/usePageTitle.js","2","16","0","0","0","0"
"frontend/src/hooks/useScrollReveal.js","2","46","0","0","0","0"
"frontend/src/index.css","3","416","0","0","0","0"
"frontend/src/lib/supabaseClient.js","2","12","0","0","0","0"
"frontend/src/main.jsx","2","11","0","0","0","0"
"frontend/src/pages/AdminDashboard.jsx","2.5","207","0","0","0","0"
"frontend/src/pages/AuthCallback.jsx","2","108","0","0","0","0"
"frontend/src/pages/BatchUpload.jsx","2.5","153","0","0","0","0"
"frontend/src/pages/Compare.jsx","3","416","0","0","0","0"
"frontend/src/pages/Dashboard.jsx","2.5","260","0","0","0","0"
"frontend/src/pages/Download.jsx","3","325","0","0","0","0"
"frontend/src/pages/Edit.jsx","2.5","288","0","0","0","0"
"frontend/src/pages/Error.jsx","2","116","0","0","0","0"
"frontend/src/pages/FeedbackPage.jsx","2","132","0","0","0","0"
"frontend/src/pages/ForgotPassword.jsx","2","130","0","0","0","0"
"frontend/src/pages/History.jsx","3","329","0","0","0","0"
"frontend/src/pages/Landing.jsx","3","593","0","0","0","0"
"frontend/src/pages/Login.jsx","2","136","0","0","0","0"
"frontend/src/pages/NotificationsPage.jsx","2.5","164","0","0","0","0"
"frontend/src/pages/Preview.jsx","2","41","0","0","0","0"
"frontend/src/pages/Privacy.jsx","2","80","0","0","0","0"
"frontend/src/pages/Processing.jsx","2.5","187","0","0","0","0"
"frontend/src/pages/Profile.jsx","3","416","0","0","0","0"
"frontend/src/pages/ResetPassword.jsx","2.5","174","0","0","0","0"
"frontend/src/pages/SettingsPage.jsx","2.5","217","0","0","0","0"
"frontend/src/pages/Signup.jsx","2.5","233","0","0","0","0"
"frontend/src/pages/TemplateEditor.jsx","3","349","0","0","0","0"
"frontend/src/pages/Templates.jsx","3.9","343","0","0","0","0"
"frontend/src/pages/Terms.jsx","2","80","0","0","0","0"
"frontend/src/pages/Upload.jsx","4.4","640","0","0","0","0"
"frontend/src/pages/ValidationResults.jsx","3","324","0","0","0","0"
"frontend/src/pages/VerifyOTP.jsx","2.5","175","0","0","0","0"
"frontend/src/services/api.js","4.4","816","0","0","0","0"
"frontend/src/services/api.test.js","2","120","0","0","0","0"
"frontend/src/test/AuthCallback.test.jsx","2","97","0","0","0","0"
"frontend/src/test/Compare.test.jsx","2","77","0","0","0","0"
"frontend/src/test/Dashboard.test.jsx","2","88","0","0","0","0"
"frontend/src/test/Download.test.jsx","2","78","0","0","0","0"
"frontend/src/test/Edit.test.jsx","2","72","0","0","0","0"
"frontend/src/test/Error.test.jsx","2","45","0","0","0","0"
"frontend/src/test/ErrorBoundary.test.jsx","2","74","0","0","0","0"
"frontend/src/test/Footer.test.jsx","2","40","0","0","0","0"
"frontend/src/test/History.test.jsx","2","87","0","0","0","0"
"frontend/src/test/Navbar.test.jsx","2","90","0","0","0","0"
"frontend/src/test/Profile.test.jsx","2","114","0","0","0","0"
"frontend/src/test/ProtectedRoute.test.jsx","2","63","0","0","0","0"
"frontend/src/test/setup.js","2","2","0","0","0","0"
"frontend/src/test/Signup.test.jsx","2","96","0","0","0","0"
"frontend/src/test/StatusBadge.test.jsx","2","37","0","0","0","0"
"frontend/src/test/Templates.test.jsx","2","80","0","0","0","0"
"frontend/src/test/Upload.test.jsx","2","101","0","0","0","0"
"frontend/src/test/ValidationResults.test.jsx","2","81","0","0","0","0"
"frontend/src/test/VerifyOTP.test.jsx","2","82","0","0","0","0"
